date,open,high,low,close,adj_close,volume,EMA_8,EMA_21,RSI_14,BBL,BBM,BBU,MACD,MACD_H,MACD_S
2018-02-27,278.1099853515625,278.9200134277344,274.3599853515625,274.42999267578125,259.46405029296875,99099200,,,,,,,,,
2018-02-28,275.67999267578125,276.19000244140625,271.2900085449219,271.6499938964844,256.8356628417969,121907800,,,0.0,,,,,,
2018-03-01,271.4100036621094,273.1700134277344,266.0,267.70001220703125,253.10108947753906,176855100,,,0.0,,,,,,
2018-03-02,265.79998779296875,269.7200012207031,264.82000732421875,269.0799865722656,254.40585327148438,139083200,,,18.535948661067913,,,,,,
2018-03-05,267.7300109863281,272.8900146484375,267.6099853515625,272.19000244140625,257.3462219238281,97307400,,,43.813020926596444,,,,,,
2018-03-06,273.29998779296875,273.3900146484375,271.17999267578125,272.8800048828125,257.9986267089844,79213200,,,47.6910368084015,,,,,,
2018-03-07,270.4200134277344,273.17999267578125,270.20001220703125,272.7799987792969,257.904052734375,87063500,,,47.18273972439884,,,,,,
2018-03-08,273.54998779296875,274.239990234375,272.4200134277344,274.1000061035156,259.1521301269531,66901200,271.8512496948242,,54.13181376737842,,,,,,
2018-03-09,275.70001220703125,278.8699951171875,275.3399963378906,278.8699951171875,263.6619567871094,113625300,273.4109708997938,,69.66405953629655,,,,,,0.0
2018-03-12,279.20001220703125,279.9100036621094,278.0799865722656,278.5199890136719,263.33099365234375,71924800,274.5463082584334,,67.8485188723716,,,,,,0.0
2018-03-13,279.8399963378906,280.4100036621094,276.0299987792969,276.7200012207031,261.6291809082031,91968900,275.0293511389378,,59.29071179720384,,,,,,0.0
2018-03-14,277.80999755859375,278.0199890136719,274.6700134277344,275.29998779296875,260.28662109375,105895100,275.0894926176113,,53.55210770993385,,,,,,0.0
2018-03-15,275.8800048828125,276.6099853515625,274.42999267578125,275.0,260.0029602050781,83433000,275.0696053692532,,52.398302145464726,,,,,,0.0
2018-03-16,274.5,275.3900146484375,274.1400146484375,274.20001220703125,260.2849426269531,100343700,274.876362444315,,49.34504044201925,,,,,,0.0
2018-03-19,273.3500061035156,274.3999938964844,268.6199951171875,270.489990234375,256.76318359375,109208400,273.90161306432833,,38.221712090906685,,,,,,0.0
2018-03-20,270.94000244140625,271.6700134277344,270.17999267578125,270.95001220703125,257.1998291015625,59757300,273.24570176270674,,40.02694885729754,,,,,,0.0
